family	Subfamily	chr	start	end	strand	percent_divergence	GA_edit_count
ERVL	TguLTR5d	NW_009185643.1	34859	35375	C	22.200	0
ERVL	TguLTR5e	NW_009185644.1	24704	24794	C	18.200	0
ERVL	TguLTR5e	NW_009185646.1	14450	14569	C	22.900	0
ERVL	TguLTR5e	NW_009185646.1	18067	18187	+	23.300	0
ERVL	TguLTR5d	NW_009185646.1	22496	22730	+	18.000	0
ERVL	TguLTR5d	NW_009185646.1	22875	23019	+	9.400	0
ERVL	TguLTR5d	NW_009185647.1	518	1126	+	72.100	0
ERVL	TguLTR5d	NW_009185648.1	8461	9043	+	7.700	0
ERVL	TguLTR5e	NW_009185649.1	38636	38757	+	23.300	0
ERVL	TguLTR5e	NW_009185649.1	42182	42297	C	22.800	0
ERVL	TguLTR5d	NW_009185649.1	59623	59773	C	22.500	0
ERVL	TguLTR5d	NW_009185649.1	61328	61921	C	13.700	0
ERVL	TguLTR5d	NW_009185649.1	74062	74261	C	7.500	0
ERVL	TguLTR5d	NW_009185651.1	7940	8507	C	13.400	0
ERVL	TguLTR5d	NW_009185652.1	20379	20638	+	20.100	0
ERVL	TguLTR5d	NW_009185652.1	20691	21161	+	21.200	0
ERVL	TguLTR5e	NW_009185652.1	26732	26846	+	22.800	0
ERVL	TguLTR5d	NW_009185655.1	17251	17498	+	19.700	0
ERVL	TguLTR5d	NW_009185655.1	17629	17765	+	9.200	0
ERVL	TguLTR5e	NW_009185659.1	9	130	+	22.500	0
ERVL	TguLTR5d	NW_009185660.1	50126	50686	+	13.100	0
ERVL	TguLTR5d	NW_009185662.1	24458	25019	C	21.200	0
ERVL	TguLTR5d	NW_009185662.1	30784	31343	C	24.500	0
ERVL	TguLTR5d	NW_009185663.1	74129	74665	+	19.500	0
ERVL	TguLTR5e	NW_009185663.1	77967	78486	+	18.100	0
ERVL	TguLTR5d	NW_009185664.1	871	1406	+	23.500	0
ERVL	TguLTR5d	NW_009185666.1	7847	8225	+	19.400	0
ERVL	TguLTR5d	NW_009185666.1	8258	8416	+	21.200	0
ERVL	TguLTR5d	NW_009185667.1	9570	10168	C	9.300	0
ERVL	TguLTR5d	NW_009185667.1	23377	23650	+	17.600	0
ERVL	TguLTR5d	NW_009185668.1	2987	3505	+	23.800	0
ERVL	TguLTR5d	NW_009185669.1	1	49	+	8.200	0
ERVL	TguLTR5d	NW_009185670.1	22243	22832	C	9.900	0
ERVL	TguLTR5e	NW_009185671.1	3771	3896	C	29.200	0
ERVL	TguLTR5e	NW_009185672.1	11095	11210	C	21.700	0
ERVL	TguLTR5d	NW_009185673.1	10181	10586	C	26.100	0
ERVL	TguLTR5e	NW_009185673.1	14535	14972	C	23.300	0
ERVL	TguLTR5e	NW_009185673.1	15061	15364	C	21.500	0
ERVL	TguLTR5e	NW_009185673.1	17532	18085	C	26.700	0
ERVL	TguLTR5d	NW_009185678.1	2909	3474	C	9.200	0
ERVL	TguLTR5d	NW_009185681.1	1363	1954	C	8.300	0
ERVL	TguLTR5e	NW_009185688.1	15119	15686	C	18.800	0
ERVL	TguLTR5d	NW_009185689.1	48364	48452	C	17.200	0
ERVL	TguLTR5d	NW_009185689.1	48616	48848	C	16.500	0
ERVL	TguLTR5d	NW_009185690.1	2431	2561	C	11.800	0
ERVL	TguLTR5d	NW_009185690.1	14302	14661	+	21.600	0
ERVL	TguLTR5e	NW_009185690.1	33100	33322	C	25.300	0
ERVL	TguLTR5e	NW_009185690.1	33354	33647	C	18.900	0
ERVL	TguLTR5e	NW_009185690.1	36772	36892	+	21.100	0
ERVL	TguLTR5d	NW_009185691.1	28568	28670	C	6.100	0
ERVL	TguLTR5d	NW_009185691.1	28801	29048	C	19.700	0
ERVL	TguLTR5d	NW_009185691.1	80620	81194	+	13.000	0
ERVL	TguLTR5d	NW_009185691.1	81652	82057	+	8.400	0
ERVL	TguLTR5e	NW_009185692.1	74017	74569	+	35.100	0
ERVL	TguLTR5d	NW_009185694.1	31438	32033	C	7.600	0
ERVL	TguLTR5d	NW_009185694.1	90335	90564	+	19.000	0
ERVL	TguLTR5d	NW_009185694.1	90731	90871	+	12.200	0
ERVL	TguLTR5d	NW_009185695.1	6451	6766	+	11.100	0
ERVL	TguLTR5d	NW_009185698.1	56486	57056	+	13.200	0
ERVL	TguLTR5e	NW_009185699.1	1865	1985	+	22.800	0
ERVL	TguLTR5e	NW_009185700.1	1446	1575	C	24.000	0
ERVL	TguLTR5d	NW_009185701.1	5692	6253	+	21.000	0
ERVL	TguLTR5d	NW_009185702.1	65042	65313	+	16.500	0
ERVL	TguLTR5d	NW_009185702.1	65963	66111	+	13.100	0
ERVL	TguLTR5d	NW_009185703.1	9812	10373	C	15.300	0
ERVL	TguLTR5e	NW_009185704.1	23706	23828	+	20.500	0
ERVL	TguLTR5d	NW_009185705.1	26305	26467	C	21.000	0
ERVL	TguLTR5d	NW_009185706.1	8338	8453	C	16.500	0
ERVL	TguLTR5d	NW_009185706.1	8589	8812	C	26.200	0
ERVL	TguLTR5d	NW_009185706.1	15050	15187	C	11.500	0
ERVL	TguLTR5d	NW_009185706.1	15317	15564	C	18.900	0
ERVL	TguLTR5d	NW_009185706.1	33362	33936	+	12.700	0
ERVL	TguLTR5d	NW_009185706.1	41074	41208	C	11.400	0
ERVL	TguLTR5d	NW_009185706.1	41338	41585	C	19.300	0
ERVL	TguLTR5d	NW_009185706.1	42216	42457	C	19.400	0
ERVL	TguLTR5d	NW_009185708.1	9670	10168	+	21.000	0
ERVL	TguLTR5d	NW_009185709.1	25057	25117	C	13.100	0
ERVL	TguLTR5e	NW_009185713.1	29778	29897	C	21.700	0
ERVL	TguLTR5d	NW_009185714.1	72	336	C	18.100	0
ERVL	TguLTR5d	NW_009185715.1	2748	2892	C	16.000	0
ERVL	TguLTR5d	NW_009185715.1	3069	3279	C	22.800	0
ERVL	TguLTR5d	NW_009185715.1	4279	4822	+	12.000	0
ERVL	TguLTR5e	NW_009185718.1	2961	3137	+	22.100	0
ERVL	TguLTR5d	NW_009185718.1	20825	20961	C	10.600	0
ERVL	TguLTR5d	NW_009185718.1	21104	21344	C	18.200	0
ERVL	TguLTR5d	NW_009185718.1	30631	31205	C	14.100	0
ERVL	TguLTR5e	NW_009185718.1	50592	51160	C	19.700	0
ERVL	TguLTR5e	NW_009185718.1	63013	63134	C	24.100	0
ERVL	TguLTR5e	NW_009185724.1	181	494	+	16.900	0
ERVL	TguLTR5e	NW_009185724.1	515	715	+	22.000	0
ERVL	TguLTR5e	NW_009185724.1	7736	7898	C	24.200	0
ERVL	TguLTR5e	NW_009185724.1	8037	8256	C	21.300	0
ERVL	TguLTR5d	NW_009185724.1	49350	49597	+	16.400	0
ERVL	TguLTR5d	NW_009185724.1	49737	49859	+	20.700	0
ERVL	TguLTR5d	NW_009185724.1	98939	99186	+	19.700	0
ERVL	TguLTR5d	NW_009185724.1	99317	99454	+	9.900	0
ERVL	TguLTR5d	NW_009185725.1	26689	27263	+	12.400	0
ERVL	TguLTR5d	NW_009185726.1	7583	8154	+	14.400	0
ERVL	TguLTR5e	NW_009185727.1	22390	22509	+	23.500	0
ERVL	TguLTR5d	NW_009185727.1	122498	123052	C	20.500	0
ERVL	TguLTR5d	NW_009185728.1	30207	30437	+	21.700	0
ERVL	TguLTR5d	NW_009185728.1	30568	30703	+	11.500	0
ERVL	TguLTR5d	NW_009185728.1	64220	64701	+	22.100	0
ERVL	TguLTR5d	NW_009185729.1	3805	4349	+	26.000	0
ERVL	TguLTR5d	NW_009185729.1	14933	15205	+	24.400	0
ERVL	TguLTR5d	NW_009185730.1	6593	7135	C	22.800	0
ERVL	TguLTR5d	NW_009185733.1	56775	57359	+	7.500	0
ERVL	TguLTR5e	NW_009185733.1	59621	59730	C	20.200	0
ERVL	TguLTR5d	NW_009185734.1	5991	6239	+	22.100	0
ERVL	TguLTR5d	NW_009185734.1	6370	6509	+	11.500	0
ERVL	TguLTR5d	NW_009185735.1	2274	2332	+	16.900	0
ERVL	TguLTR5d	NW_009185735.1	73526	74108	C	9.100	0
ERVL	TguLTR5d	NW_009185737.1	171825	172409	C	37.100	0
ERVL	TguLTR5d	NW_009185738.1	41835	42412	C	12.000	0
ERVL	TguLTR5d	NW_009185738.1	133994	134588	+	6.900	0
ERVL	TguLTR5e	NW_009185740.1	3775	3897	+	18.600	0
ERVL	TguLTR5d	NW_009185745.1	2585	3155	C	6.500	0
ERVL	TguLTR5d	NW_009185745.1	29057	29635	+	10.400	0
ERVL	TguLTR5d	NW_009185746.1	13203	13753	+	19.500	0
ERVL	TguLTR5d	NW_009185748.1	36400	36994	C	11.000	0
ERVL	TguLTR5d	NW_009185748.1	37714	38071	C	7.800	0
ERVL	TguLTR5d	NW_009185749.1	76210	76348	C	15.800	0
ERVL	TguLTR5d	NW_009185750.1	4496	5058	+	12.300	0
ERVL	TguLTR5d	NW_009185750.1	25257	25767	C	22.200	0
ERVL	TguLTR5e	NW_009185750.1	48034	48161	C	27.300	0
ERVL	TguLTR5e	NW_009185750.1	67786	68376	C	19.100	0
ERVL	TguLTR5d	NW_009185753.1	3064	3195	C	11.700	0
ERVL	TguLTR5d	NW_009185753.1	3288	3360	C	16.000	0
ERVL	TguLTR5e	NW_009185756.1	4362	4721	C	18.600	0
ERVL	TguLTR5d	NW_009185758.1	875	1458	+	13.400	0
ERVL	TguLTR5d	NW_009185758.1	8033	8625	C	14.000	0
ERVL	TguLTR5d	NW_009185758.1	11215	11466	+	19.300	0
ERVL	TguLTR5d	NW_009185758.1	11603	11753	+	16.100	0
ERVL	TguLTR5d	NW_009185760.1	25842	26435	+	8.600	0
ERVL	TguLTR5e	NW_009185762.1	1782	1901	+	26.200	0
ERVL	TguLTR5d	NW_009185764.1	3	139	+	15.800	0
ERVL	TguLTR5d	NW_009185765.1	17795	18042	+	19.300	0
ERVL	TguLTR5d	NW_009185765.1	18173	18292	+	6.000	0
ERVL	TguLTR5d	NW_009185769.1	9037	9137	C	10.900	0
ERVL	TguLTR5d	NW_009185769.1	9535	9601	C	16.400	0
ERVL	TguLTR5d	NW_009185771.1	83307	83589	C	18.100	0
ERVL	TguLTR5d	NW_009185772.1	5723	6296	+	14.000	0
ERVL	TguLTR5d	NW_009185777.1	5534	6102	+	8.100	0
ERVL	TguLTR5d	NW_009185778.1	2733	3084	+	18.500	0
ERVL	TguLTR5d	NW_009185778.1	3107	3270	+	21.900	0
ERVL	TguLTR5d	NW_009185778.1	8102	8333	+	19.100	0
ERVL	TguLTR5d	NW_009185778.1	8449	8602	+	19.000	0
ERVL	TguLTR5d	NW_009185778.1	30829	31434	+	10.000	0
ERVL	TguLTR5d	NW_009185778.1	33090	33235	C	17.600	0
ERVL	TguLTR5d	NW_009185778.1	33365	33451	C	19.100	0
ERVL	TguLTR5d	NW_009185778.1	33474	33615	C	16.800	0
ERVL	TguLTR5d	NW_009185778.1	35669	35805	C	12.900	0
ERVL	TguLTR5d	NW_009185778.1	35923	36016	C	19.900	0
ERVL	TguLTR5d	NW_009185778.1	36039	36180	C	20.700	0
ERVL	TguLTR5d	NW_009185778.1	47399	47646	+	19.400	0
ERVL	TguLTR5d	NW_009185778.1	47776	47910	+	12.900	0
ERVL	TguLTR5d	NW_009185780.1	79	349	C	19.600	0
ERVL	TguLTR5d	NW_009185784.1	5828	6409	+	12.800	0
ERVL	TguLTR5d	NW_009185784.1	35876	36448	+	12.900	0
ERVL	TguLTR5d	NW_009185784.1	36655	36901	+	23.500	0
ERVL	TguLTR5d	NW_009185784.1	37038	37179	+	12.200	0
ERVL	TguLTR5e	NW_009185788.1	15836	16073	+	22.900	0
ERVL	TguLTR5e	NW_009185788.1	16196	16372	+	12.800	0
ERVL	TguLTR5d	NW_009185789.1	25581	26085	+	20.700	0
ERVL	TguLTR5e	NW_009185790.1	88295	88414	+	24.200	0
ERVL	TguLTR5d	NW_009185792.1	611	764	C	18.000	0
ERVL	TguLTR5d	NW_009185792.1	877	1147	C	27.800	0
ERVL	TguLTR5d	NW_009185793.1	55898	56042	+	15.400	0
ERVL	TguLTR5e	NW_009185796.1	2855	3438	C	23.600	0
ERVL	TguLTR5e	NW_009185801.1	24680	24807	+	21.100	0
ERVL	TguLTR5e	NW_009185801.1	33239	33780	+	19.100	0
ERVL	TguLTR5d	NW_009185802.1	15568	16172	+	11.500	0
ERVL	TguLTR5e	NW_009185802.1	49326	49444	C	26.500	0
ERVL	TguLTR5d	NW_009185802.1	74389	74464	C	11.800	0
ERVL	TguLTR5d	NW_009185803.1	10698	10967	+	22.700	0
ERVL	TguLTR5d	NW_009185803.1	11073	11226	+	13.700	0
ERVL	TguLTR5e	NW_009185804.1	23648	23766	+	23.900	0
ERVL	TguLTR5d	NW_009185807.1	1621	2003	+	22.000	0
ERVL	TguLTR5d	NW_009185807.1	2048	2202	+	22.000	0
ERVL	TguLTR5d	NW_009185810.1	1	138	C	14.800	0
ERVL	TguLTR5d	NW_009185810.1	996	1177	+	22.900	0
ERVL	TguLTR5d	NW_009185810.1	1582	2095	C	26.900	0
ERVL	TguLTR5d	NW_009185811.1	36388	36909	C	41.600	0
ERVL	TguLTR5d	NW_009185811.1	41596	41727	C	11.400	0
ERVL	TguLTR5d	NW_009185811.1	41866	42094	C	19.500	0
ERVL	TguLTR5d	NW_009185811.1	58180	58311	C	10.700	0
ERVL	TguLTR5d	NW_009185811.1	58441	58687	C	20.500	0
ERVL	TguLTR5e	NW_009185812.1	86225	86343	+	22.200	0
ERVL	TguLTR5d	NW_009185813.1	16837	17426	C	8.300	0
ERVL	TguLTR5d	NW_009185814.1	37969	38539	+	8.100	0
ERVL	TguLTR5d	NW_009185815.1	30236	30324	C	14.800	0
ERVL	TguLTR5e	NW_009185818.1	8049	8166	C	22.600	0
ERVL	TguLTR5d	NW_009185818.1	20686	21264	+	9.600	0
ERVL	TguLTR5d	NW_009185818.1	34899	35477	C	10.700	0
ERVL	TguLTR5d	NW_009185819.1	9120	9709	+	8.700	0
ERVL	TguLTR5d	NW_009185820.1	417	1010	+	7.400	0
ERVL	TguLTR5d	NW_009185822.1	38750	38918	+	31.300	0
ERVL	TguLTR5e	NW_009185822.1	38941	39215	C	18.000	0
ERVL	TguLTR5d	NW_009185826.1	12800	13165	+	18.200	0
ERVL	TguLTR5d	NW_009185826.1	13189	13296	+	16.100	0
ERVL	TguLTR5d	NW_009185828.1	41510	41567	+	6.900	0
ERVL	TguLTR5d	NW_009185828.1	41642	41731	+	17.800	0
ERVL	TguLTR5d	NW_009185828.1	41855	41992	+	9.100	0
ERVL	TguLTR5d	NW_009185828.1	44496	44642	C	18.400	0
ERVL	TguLTR5d	NW_009185828.1	44765	45000	C	18.500	0
ERVL	TguLTR5e	NW_009185829.1	12473	13047	C	18.900	0
ERVL	TguLTR5d	NW_009185832.1	183691	184207	+	18.600	0
ERVL	TguLTR5d	NW_009185833.1	14604	15179	C	13.400	0
ERVL	TguLTR5e	NW_009185833.1	39832	40067	+	26.200	0
ERVL	TguLTR5d	NW_009185835.1	22977	23505	C	18.600	0
ERVL	TguLTR5d	NW_009185841.1	13334	13928	C	7.400	0
ERVL	TguLTR5d	NW_009185843.1	1579	2152	+	11.500	0
ERVL	TguLTR5e	NW_009185846.1	15134	15662	+	25.000	0
ERVL	TguLTR5d	NW_009185846.1	18601	19168	C	22.900	0
ERVL	TguLTR5d	NW_009185848.1	4974	5520	C	23.800	0
ERVL	TguLTR5d	NW_009185848.1	14491	15084	+	7.400	0
ERVL	TguLTR5d	NW_009185850.1	69552	70129	+	6.600	0
ERVL	TguLTR5e	NW_009185850.1	120872	120986	+	24.500	0
ERVL	TguLTR5d	NW_009185856.1	77705	77838	C	13.800	0
ERVL	TguLTR5d	NW_009185856.1	77957	78193	C	18.300	0
ERVL	TguLTR5e	NW_009185857.1	21345	21424	+	15.400	0
ERVL	TguLTR5e	NW_009185857.1	21455	21685	+	31.400	0
ERVL	TguLTR5d	NW_009185857.1	24322	24393	C	11.100	0
ERVL	TguLTR5d	NW_009185857.1	24581	24873	C	22.800	0
ERVL	TguLTR5d	NW_009185857.1	30721	30990	+	19.700	0
ERVL	TguLTR5d	NW_009185859.1	1	112	+	15.200	0
ERVL	TguLTR5d	NW_009185859.1	2394	2953	+	26.100	0
ERVL	TguLTR5d	NW_009185859.1	7327	7570	+	19.600	0
ERVL	TguLTR5d	NW_009185859.1	7701	7773	+	6.800	0
ERVL	TguLTR5d	NW_009185859.1	7994	8549	+	23.200	0
ERVL	TguLTR5e	NW_009185860.1	15720	15839	+	26.000	0
ERVL	TguLTR5d	NW_009185862.1	1007	1546	+	24.700	0
ERVL	TguLTR5d	NW_009185864.1	1246	1397	+	21.400	0
ERVL	TguLTR5d	NW_009185865.1	21447	21495	C	12.200	0
ERVL	TguLTR5d	NW_009185876.1	34238	34830	C	7.100	0
ERVL	TguLTR5d	NW_009185877.1	14947	15501	+	24.300	0
ERVL	TguLTR5d	NW_009185879.1	10714	11273	C	26.900	0
ERVL	TguLTR5d	NW_009185879.1	49985	50117	C	19.700	0
ERVL	TguLTR5d	NW_009185879.1	50241	50482	C	18.500	0
ERVL	TguLTR5d	NW_009185880.1	4527	4623	C	10.300	0
ERVL	TguLTR5d	NW_009185880.1	6094	6689	+	7.200	0
ERVL	TguLTR5e	NW_009185880.1	15981	16101	C	17.500	0
ERVL	TguLTR5e	NW_009185885.1	5640	5760	C	22.500	0
ERVL	TguLTR5d	NW_009185886.1	47278	47838	+	10.200	0
ERVL	TguLTR5d	NW_009185886.1	56152	56714	+	12.100	0
ERVL	TguLTR5d	NW_009185890.1	139	292	+	16.900	0
ERVL	TguLTR5d	NW_009185891.1	1069	1624	+	12.600	0
ERVL	TguLTR5e	NW_009185891.1	1667	1795	C	26.000	0
ERVL	TguLTR5d	NW_009185891.1	11892	12501	+	9.400	0
ERVL	TguLTR5e	NW_009185891.1	32582	32702	C	22.700	0
ERVL	TguLTR5d	NW_009185899.1	27973	28114	C	9.500	0
ERVL	TguLTR5d	NW_009185899.1	28219	28506	C	21.700	0
ERVL	TguLTR5d	NW_009185903.1	27971	28103	+	25.800	0
ERVL	TguLTR5d	NW_009185903.1	28394	28535	+	15.800	0
ERVL	TguLTR5d	NW_009185906.1	505	1060	C	14.200	0
ERVL	TguLTR5d	NW_009185906.1	26333	26930	+	7.700	0
ERVL	TguLTR5d	NW_009185906.1	43940	44284	C	9.600	0
ERVL	TguLTR5d	NW_009185911.1	21499	21621	C	17.200	0
ERVL	TguLTR5d	NW_009185912.1	1	125	+	13.400	0
ERVL	TguLTR5e	NW_009185914.1	15032	15133	C	22.600	0
ERVL	TguLTR5d	NW_009185915.1	22186	22246	+	11.500	0
ERVL	TguLTR5d	NW_009185915.1	51140	51735	C	7.100	0
ERVL	TguLTR5d	NW_009185917.1	1679	1902	C	32.300	0
ERVL	TguLTR5d	NW_009185920.1	7293	7540	+	20.600	0
ERVL	TguLTR5d	NW_009185920.1	7664	7798	+	14.400	0
ERVL	TguLTR5e	NW_009185920.1	15480	16057	C	21.000	0
ERVL	TguLTR5d	NW_009185920.1	18391	18927	+	15.800	0
ERVL	TguLTR5d	NW_009185920.1	19273	19365	+	13.000	0
ERVL	TguLTR5d	NW_009185920.1	44429	44575	C	12.800	0
ERVL	TguLTR5d	NW_009185920.1	45313	45550	C	26.200	0
ERVL	TguLTR5e	NW_009185920.1	50437	50552	C	23.600	0
ERVL	TguLTR5d	NW_009185922.1	182	281	+	22.100	0
ERVL	TguLTR5d	NW_009185930.1	8597	9206	C	15.300	0
ERVL	TguLTR5e	NW_009185930.1	199631	199757	+	26.400	0
ERVL	TguLTR5d	NW_009185930.1	200067	200126	+	10.000	0
ERVL	TguLTR5e	NW_009185931.1	17581	17757	C	31.000	0
ERVL	TguLTR5e	NW_009185933.1	38	120	+	26.500	0
ERVL	TguLTR5e	NW_009185933.1	316	430	+	26.100	0
ERVL	TguLTR5e	NW_009185933.1	791	905	+	25.200	0
ERVL	TguLTR5d	NW_009185933.1	1179	1581	+	11.600	12
ERVL	TguLTR5d	NW_009185933.1	1603	1770	+	11.600	0
ERVL	TguLTR5d	NW_009185934.1	23799	23868	C	11.400	0
ERVL	TguLTR5e	NW_009185938.1	11743	11894	C	21.300	0
ERVL	TguLTR5e	NW_009185938.1	12181	12469	C	17.700	0
ERVL	TguLTR5e	NW_009185938.1	14421	14973	C	20.800	0
ERVL	TguLTR5d	NW_009185939.1	1	228	C	19.500	0
ERVL	TguLTR5d	NW_009185940.1	4734	5003	+	17.800	0
ERVL	TguLTR5d	NW_009185940.1	5198	5339	+	19.000	0
ERVL	TguLTR5d	NW_009185940.1	27838	28396	+	14.500	0
ERVL	TguLTR5d	NW_009185940.1	44009	44263	+	20.200	0
ERVL	TguLTR5d	NW_009185940.1	44390	44441	+	13.500	0
ERVL	TguLTR5d	NW_009185940.1	45632	45766	C	10.600	0
ERVL	TguLTR5d	NW_009185940.1	45896	46143	C	22.100	0
ERVL	TguLTR5d	NW_009185944.1	773	1343	+	14.200	0
ERVL	TguLTR5e	NW_009185948.1	2762	3334	C	19.900	0
ERVL	TguLTR5d	NW_009185949.1	1	50	C	8.000	0
ERVL	TguLTR5d	NW_009185949.1	7873	8436	+	13.100	0
ERVL	TguLTR5d	NW_009185962.1	1922	2068	C	13.000	0
ERVL	TguLTR5d	NW_009185962.1	2194	2409	C	16.500	0
ERVL	TguLTR5d	NW_009185965.1	91726	92309	C	6.900	0
ERVL	TguLTR5d	NW_009185966.1	16327	16459	C	11.600	0
ERVL	TguLTR5d	NW_009185966.1	16577	16800	C	17.100	0
ERVL	TguLTR5d	NW_009185966.1	28296	28453	C	13.000	0
ERVL	TguLTR5d	NW_009185966.1	28488	28563	C	24.300	0
ERVL	TguLTR5d	NW_009185966.1	28585	28857	C	16.200	0
ERVL	TguLTR5d	NW_009185966.1	43709	44238	C	22.700	0
ERVL	TguLTR5d	NW_009185966.1	54160	54413	C	16.600	0
