#Batch CD-search tool	NIH/NLM/NCBI
#cdsid	QM3-qcdsearch-1A1E72DAFF6DB8BC-2DB551FFA7EC6267
#datatype	hitsFull Results
#status	0
#Start time	2025-02-24T22:46:58	Run time	0:00:00:33
#status	success

Query	Hit type	PSSM-ID	From	To	E-Value	Bitscore	Accession	Short name	Incomplete	Superfamily	Definition
Q#1 - >aid_mammals_NM_020661.4	non-specific	465862	24	160	1.75218e-41	136.849	pfam18771	APOBEC3	 - 	cl39019	APOBEC3; APOBEC3 deaminases act as restriction factors in the innate response to retroviruses and various retroelements.
Q#1 - >aid_mammals_NM_020661.4	superfamily	465862	24	160	1.75218e-41	136.849	cl39019	APOBEC3 superfamily	 - 	 - 	APOBEC3; APOBEC3 deaminases act as restriction factors in the innate response to retroviruses and various retroelements.
Q#1 - >aid_mammals_NM_020661.4	non-specific	461599	102	180	1.42356e-37	124.903	pfam05240	APOBEC_C	 - 	cl46425	APOBEC-like C-terminal domain; This domain is found at the C-termini of the Apolipoprotein B mRNA editing enzyme.
Q#1 - >aid_mammals_NM_020661.4	superfamily	480765	102	180	1.42356e-37	124.903	cl46425	APOBEC4 superfamily	 - 	 - 	APOBEC4; A member of the AID/APOBEC family of cytosine deaminases. The biological function of APOBEC4 is poorly understood. However, it is widely conserved across vertebrates.
Q#1 - >aid_mammals_NM_020661.4	non-specific	408545	50	153	1.37758e-22	88.0069	pfam18774	APOBEC4_like	N	cl39018	APOBEC4-like -AID/APOBEC-deaminase; Cnidarian and Algal homologs of the APOBEC4-like AID/APOBEC-like deaminases characterized by a distinct Zn chelating site involving residues from the conserved loops 1 and 3.
Q#1 - >aid_mammals_NM_020661.4	superfamily	408545	50	153	1.37758e-22	88.0069	cl39018	APOBEC4_like superfamily	N	 - 	APOBEC4-like -AID/APOBEC-deaminase; Cnidarian and Algal homologs of the APOBEC4-like AID/APOBEC-like deaminases characterized by a distinct Zn chelating site involving residues from the conserved loops 1 and 3.
Q#1 - >aid_mammals_NM_020661.4	non-specific	436728	78	152	4.99256e-19	77.3768	pfam18775	APOBEC4	 - 	cl46425	APOBEC4; A member of the AID/APOBEC family of cytosine deaminases. The biological function of APOBEC4 is poorly understood. However, it is widely conserved across vertebrates.
Q#1 - >aid_mammals_NM_020661.4	non-specific	408540	56	139	9.39706e-18	74.8496	pfam18769	APOBEC1	 - 	cl39016	APOBEC1; APOBEC1 deaminates cytosine both in RNA and ssDNA and has roles in both mRNA editing and ssDNA mutagenesis as part of the defense against retroviruses and genomic retrotransposons.
Q#1 - >aid_mammals_NM_020661.4	superfamily	408540	56	139	9.39706e-18	74.8496	cl39016	APOBEC1 superfamily	 - 	 - 	APOBEC1; APOBEC1 deaminates cytosine both in RNA and ssDNA and has roles in both mRNA editing and ssDNA mutagenesis as part of the defense against retroviruses and genomic retrotransposons.
Q#1 - >aid_mammals_NM_020661.4	specific	238610	5	129	4.49395e-12	60.0474	cd01283	cytidine_deaminase	 - 	cl00269	Cytidine deaminase zinc-binding domain. These enzymes are Zn dependent. The zinc ion in the active site plays a central role in the proposed catalytic mechanism, activating a water molecule to form a hydroxide ion that performs a nucleophilic attack on the substrate. Cytidine deaminases catalyze the deamination of cytidine to uridine and are important in the pyrimadine salvage pathway in many cell types, from bacteria to humans. This family also includes  the apoBec proteins, which are a mammal specific expansion of RNA editing enzymes, and the closely related phorbolins, and the AID (activation-induced) enzymes.
Q#1 - >aid_mammals_NM_020661.4	superfamily	444801	5	129	4.49395e-12	60.0474	cl00269	cytidine_deaminase-like superfamily	 - 	 - 	Cytidine and deoxycytidylate deaminase zinc-binding region. The family contains cytidine deaminases, nucleoside deaminases, deoxycytidylate deaminases and riboflavin deaminases. Also included are the apoBec family of mRNA editing enzymes.  All members are Zn dependent. The zinc ion in the active site plays a central role in the proposed catalytic mechanism, activating a water molecule to form a hydroxide ion that performs a nucleophilic attack on the substrate.
Q#2 - >aid_mammals_NM_001071809.5	specific	465865	5	180	1.98445e-90	262.214	pfam18778	NAD1	 - 	cl40077	Novel AID APOBEC clade 1; A distinct family of AID/APOBEC-like deaminases found in ray-finned fishes, the coelacanth, amphibians, lizards, and marsupials.
Q#2 - >aid_mammals_NM_001071809.5	superfamily	465865	5	180	1.98445e-90	262.214	cl40077	NAD1 superfamily	 - 	 - 	Novel AID APOBEC clade 1; A distinct family of AID/APOBEC-like deaminases found in ray-finned fishes, the coelacanth, amphibians, lizards, and marsupials.
Q#2 - >aid_mammals_NM_001071809.5	non-specific	465863	6	180	1.74541e-87	254.831	pfam18772	APOBEC2	 - 	cl40073	APOBEC2; APOBEC2 is a highly conserved (slow-evolving) family of AID/APOBECs found in most vertebrates including cartilaginous fishes. APOBEC2 is poorly understood in terms of their molecular functions and substrate specificity.
Q#2 - >aid_mammals_NM_001071809.5	superfamily	465863	6	180	1.74541e-87	254.831	cl40073	APOBEC2 superfamily	 - 	 - 	APOBEC2; APOBEC2 is a highly conserved (slow-evolving) family of AID/APOBECs found in most vertebrates including cartilaginous fishes. APOBEC2 is poorly understood in terms of their molecular functions and substrate specificity.
Q#2 - >aid_mammals_NM_001071809.5	non-specific	462396	11	178	2.48766e-81	239.19	pfam08210	APOBEC_N	 - 	cl38258	APOBEC-like N-terminal domain; A mechanism of generating protein diversity is mRNA editing. Members of this family are C-to-U editing enzymes. The N-terminal domain of APOBEC-1 like proteins is the catalytic domain, while the C-terminal domain is a pseudocatalyitc domain. More specifically, the catalytic domain is a zinc dependent deaminases domain and is essential for cytidine deamination.APOBEC-3 like members contain two copies of this domain. RNA editing by APOBEC-1 requires homodimerization and this complex interacts with RNA binding proteins to from the editosome (and references therein). This family also includes the functionally homologous activation induced deaminase (AID), which is essential for the development of antibody diversity in B lymphocytes, and the sea lamprey PmCDA1 and PmCDA2, which are predicted to play an AID-like role in the adaptive immune response of jawless vertebrates. Divergent members of this family are present in various eukaryotes such as Nematostella, C. elegans, Micromonas and Emiliania, and prokaryotes such as Wolbachia and Pseudomonas brassicacearum.
Q#2 - >aid_mammals_NM_001071809.5	superfamily	462396	11	178	2.48766e-81	239.19	cl38258	APOBEC_N superfamily	 - 	 - 	APOBEC-like N-terminal domain; A mechanism of generating protein diversity is mRNA editing. Members of this family are C-to-U editing enzymes. The N-terminal domain of APOBEC-1 like proteins is the catalytic domain, while the C-terminal domain is a pseudocatalyitc domain. More specifically, the catalytic domain is a zinc dependent deaminases domain and is essential for cytidine deamination.APOBEC-3 like members contain two copies of this domain. RNA editing by APOBEC-1 requires homodimerization and this complex interacts with RNA binding proteins to from the editosome (and references therein). This family also includes the functionally homologous activation induced deaminase (AID), which is essential for the development of antibody diversity in B lymphocytes, and the sea lamprey PmCDA1 and PmCDA2, which are predicted to play an AID-like role in the adaptive immune response of jawless vertebrates. Divergent members of this family are present in various eukaryotes such as Nematostella, C. elegans, Micromonas and Emiliania, and prokaryotes such as Wolbachia and Pseudomonas brassicacearum.
Q#2 - >aid_mammals_NM_001071809.5	non-specific	436733	5	180	4.53514e-67	202.982	pfam18782	NAD2	 - 	cl40079	Novel AID APOBEC clade 2; A distnct family of AID/APOBEC deaminases found only in Amphibians.
Q#2 - >aid_mammals_NM_001071809.5	superfamily	436733	5	180	4.53514e-67	202.982	cl40079	NAD2 superfamily	 - 	 - 	Novel AID APOBEC clade 2; A distnct family of AID/APOBEC deaminases found only in Amphibians.
Q#2 - >aid_mammals_NM_001071809.5	non-specific	465854	31	150	1.18393e-52	164.356	pfam18750	SNAD4	 - 	cl39020	Secreted Novel AID/APOBEC-like Deaminase 4; A family of secreted AID/APOBEC like deaminases found only in sponges that often shows lineage-specific expansions.
Q#2 - >aid_mammals_NM_001071809.5	superfamily	465854	31	150	1.18393e-52	164.356	cl39020	SNAD4 superfamily	 - 	 - 	Secreted Novel AID/APOBEC-like Deaminase 4; A family of secreted AID/APOBEC like deaminases found only in sponges that often shows lineage-specific expansions.
Q#2 - >aid_mammals_NM_001071809.5	non-specific	465862	24	160	1.73322e-41	136.849	pfam18771	APOBEC3	 - 	cl39019	APOBEC3; APOBEC3 deaminases act as restriction factors in the innate response to retroviruses and various retroelements.
Q#2 - >aid_mammals_NM_001071809.5	superfamily	465862	24	160	1.73322e-41	136.849	cl39019	APOBEC3 superfamily	 - 	 - 	APOBEC3; APOBEC3 deaminases act as restriction factors in the innate response to retroviruses and various retroelements.
Q#2 - >aid_mammals_NM_001071809.5	non-specific	461599	102	180	1.06108e-37	125.288	pfam05240	APOBEC_C	 - 	cl46425	APOBEC-like C-terminal domain; This domain is found at the C-termini of the Apolipoprotein B mRNA editing enzyme.
Q#2 - >aid_mammals_NM_001071809.5	superfamily	480765	102	180	1.06108e-37	125.288	cl46425	APOBEC4 superfamily	 - 	 - 	APOBEC4; A member of the AID/APOBEC family of cytosine deaminases. The biological function of APOBEC4 is poorly understood. However, it is widely conserved across vertebrates.
Q#2 - >aid_mammals_NM_001071809.5	non-specific	408545	50	153	1.29184e-22	88.3921	pfam18774	APOBEC4_like	N	cl39018	APOBEC4-like -AID/APOBEC-deaminase; Cnidarian and Algal homologs of the APOBEC4-like AID/APOBEC-like deaminases characterized by a distinct Zn chelating site involving residues from the conserved loops 1 and 3.
Q#2 - >aid_mammals_NM_001071809.5	superfamily	408545	50	153	1.29184e-22	88.3921	cl39018	APOBEC4_like superfamily	N	 - 	APOBEC4-like -AID/APOBEC-deaminase; Cnidarian and Algal homologs of the APOBEC4-like AID/APOBEC-like deaminases characterized by a distinct Zn chelating site involving residues from the conserved loops 1 and 3.
Q#2 - >aid_mammals_NM_001071809.5	non-specific	436728	78	152	5.04628e-19	77.3768	pfam18775	APOBEC4	 - 	cl46425	APOBEC4; A member of the AID/APOBEC family of cytosine deaminases. The biological function of APOBEC4 is poorly understood. However, it is widely conserved across vertebrates.
Q#2 - >aid_mammals_NM_001071809.5	non-specific	408540	56	139	7.6754e-18	74.8496	pfam18769	APOBEC1	 - 	cl39016	APOBEC1; APOBEC1 deaminates cytosine both in RNA and ssDNA and has roles in both mRNA editing and ssDNA mutagenesis as part of the defense against retroviruses and genomic retrotransposons.
Q#2 - >aid_mammals_NM_001071809.5	superfamily	408540	56	139	7.6754e-18	74.8496	cl39016	APOBEC1 superfamily	 - 	 - 	APOBEC1; APOBEC1 deaminates cytosine both in RNA and ssDNA and has roles in both mRNA editing and ssDNA mutagenesis as part of the defense against retroviruses and genomic retrotransposons.
Q#2 - >aid_mammals_NM_001071809.5	specific	238610	5	129	7.65296e-12	59.6622	cd01283	cytidine_deaminase	 - 	cl00269	Cytidine deaminase zinc-binding domain. These enzymes are Zn dependent. The zinc ion in the active site plays a central role in the proposed catalytic mechanism, activating a water molecule to form a hydroxide ion that performs a nucleophilic attack on the substrate. Cytidine deaminases catalyze the deamination of cytidine to uridine and are important in the pyrimadine salvage pathway in many cell types, from bacteria to humans. This family also includes  the apoBec proteins, which are a mammal specific expansion of RNA editing enzymes, and the closely related phorbolins, and the AID (activation-induced) enzymes.
Q#2 - >aid_mammals_NM_001071809.5	superfamily	444801	5	129	7.65296e-12	59.6622	cl00269	cytidine_deaminase-like superfamily	 - 	 - 	Cytidine and deoxycytidylate deaminase zinc-binding region. The family contains cytidine deaminases, nucleoside deaminases, deoxycytidylate deaminases and riboflavin deaminases. Also included are the apoBec family of mRNA editing enzymes.  All members are Zn dependent. The zinc ion in the active site plays a central role in the proposed catalytic mechanism, activating a water molecule to form a hydroxide ion that performs a nucleophilic attack on the substrate.
Q#3 - >aid_mammals_XM_005570042.4	specific	465865	5	180	4.28177e-91	264.14	pfam18778	NAD1	 - 	cl40077	Novel AID APOBEC clade 1; A distinct family of AID/APOBEC-like deaminases found in ray-finned fishes, the coelacanth, amphibians, lizards, and marsupials.
Q#3 - >aid_mammals_XM_005570042.4	superfamily	465865	5	180	4.28177e-91	264.14	cl40077	NAD1 superfamily	 - 	 - 	Novel AID APOBEC clade 1; A distinct family of AID/APOBEC-like deaminases found in ray-finned fishes, the coelacanth, amphibians, lizards, and marsupials.
Q#3 - >aid_mammals_XM_005570042.4	non-specific	465865	5	180	4.28177e-91	264.14	pfam18778	NAD1	 - 	cl40077	Novel AID APOBEC clade 1; A distinct family of AID/APOBEC-like deaminases found in ray-finned fishes, the coelacanth, amphibians, lizards, and marsupials.
Q#3 - >aid_mammals_XM_005570042.4	non-specific	465865	5	180	4.28177e-91	264.14	pfam18778	NAD1	 - 	cl40077	Novel AID APOBEC clade 1; A distinct family of AID/APOBEC-like deaminases found in ray-finned fishes, the coelacanth, amphibians, lizards, and marsupials.
Q#3 - >aid_mammals_XM_005570042.4	non-specific	465865	5	180	4.28177e-91	264.14	pfam18778	NAD1	 - 	cl40077	Novel AID APOBEC clade 1; A distinct family of AID/APOBEC-like deaminases found in ray-finned fishes, the coelacanth, amphibians, lizards, and marsupials.
Q#3 - >aid_mammals_XM_005570042.4	non-specific	465863	6	180	3.5959e-87	254.061	pfam18772	APOBEC2	 - 	cl40073	APOBEC2; APOBEC2 is a highly conserved (slow-evolving) family of AID/APOBECs found in most vertebrates including cartilaginous fishes. APOBEC2 is poorly understood in terms of their molecular functions and substrate specificity.
Q#3 - >aid_mammals_XM_005570042.4	superfamily	465863	6	180	3.5959e-87	254.061	cl40073	APOBEC2 superfamily	 - 	 - 	APOBEC2; APOBEC2 is a highly conserved (slow-evolving) family of AID/APOBECs found in most vertebrates including cartilaginous fishes. APOBEC2 is poorly understood in terms of their molecular functions and substrate specificity.
Q#3 - >aid_mammals_XM_005570042.4	non-specific	465863	6	180	3.5959e-87	254.061	pfam18772	APOBEC2	 - 	cl40073	APOBEC2; APOBEC2 is a highly conserved (slow-evolving) family of AID/APOBECs found in most vertebrates including cartilaginous fishes. APOBEC2 is poorly understood in terms of their molecular functions and substrate specificity.
Q#3 - >aid_mammals_XM_005570042.4	non-specific	465863	6	180	3.5959e-87	254.061	pfam18772	APOBEC2	 - 	cl40073	APOBEC2; APOBEC2 is a highly conserved (slow-evolving) family of AID/APOBECs found in most vertebrates including cartilaginous fishes. APOBEC2 is poorly understood in terms of their molecular functions and substrate specificity.
Q#3 - >aid_mammals_XM_005570042.4	non-specific	465863	6	180	3.5959e-87	254.061	pfam18772	APOBEC2	 - 	cl40073	APOBEC2; APOBEC2 is a highly conserved (slow-evolving) family of AID/APOBECs found in most vertebrates including cartilaginous fishes. APOBEC2 is poorly understood in terms of their molecular functions and substrate specificity.
Q#3 - >aid_mammals_XM_005570042.4	non-specific	462396	11	178	1.41285e-82	242.271	pfam08210	APOBEC_N	 - 	cl38258	APOBEC-like N-terminal domain; A mechanism of generating protein diversity is mRNA editing. Members of this family are C-to-U editing enzymes. The N-terminal domain of APOBEC-1 like proteins is the catalytic domain, while the C-terminal domain is a pseudocatalyitc domain. More specifically, the catalytic domain is a zinc dependent deaminases domain and is essential for cytidine deamination.APOBEC-3 like members contain two copies of this domain. RNA editing by APOBEC-1 requires homodimerization and this complex interacts with RNA binding proteins to from the editosome (and references therein). This family also includes the functionally homologous activation induced deaminase (AID), which is essential for the development of antibody diversity in B lymphocytes, and the sea lamprey PmCDA1 and PmCDA2, which are predicted to play an AID-like role in the adaptive immune response of jawless vertebrates. Divergent members of this family are present in various eukaryotes such as Nematostella, C. elegans, Micromonas and Emiliania, and prokaryotes such as Wolbachia and Pseudomonas brassicacearum.
Q#3 - >aid_mammals_XM_005570042.4	superfamily	462396	11	178	1.41285e-82	242.271	cl38258	APOBEC_N superfamily	 - 	 - 	APOBEC-like N-terminal domain; A mechanism of generating protein diversity is mRNA editing. Members of this family are C-to-U editing enzymes. The N-terminal domain of APOBEC-1 like proteins is the catalytic domain, while the C-terminal domain is a pseudocatalyitc domain. More specifically, the catalytic domain is a zinc dependent deaminases domain and is essential for cytidine deamination.APOBEC-3 like members contain two copies of this domain. RNA editing by APOBEC-1 requires homodimerization and this complex interacts with RNA binding proteins to from the editosome (and references therein). This family also includes the functionally homologous activation induced deaminase (AID), which is essential for the development of antibody diversity in B lymphocytes, and the sea lamprey PmCDA1 and PmCDA2, which are predicted to play an AID-like role in the adaptive immune response of jawless vertebrates. Divergent members of this family are present in various eukaryotes such as Nematostella, C. elegans, Micromonas and Emiliania, and prokaryotes such as Wolbachia and Pseudomonas brassicacearum.
Q#3 - >aid_mammals_XM_005570042.4	non-specific	462396	11	178	1.41285e-82	242.271	pfam08210	APOBEC_N	 - 	cl38258	APOBEC-like N-terminal domain; A mechanism of generating protein diversity is mRNA editing. Members of this family are C-to-U editing enzymes. The N-terminal domain of APOBEC-1 like proteins is the catalytic domain, while the C-terminal domain is a pseudocatalyitc domain. More specifically, the catalytic domain is a zinc dependent deaminases domain and is essential for cytidine deamination.APOBEC-3 like members contain two copies of this domain. RNA editing by APOBEC-1 requires homodimerization and this complex interacts with RNA binding proteins to from the editosome (and references therein). This family also includes the functionally homologous activation induced deaminase (AID), which is essential for the development of antibody diversity in B lymphocytes, and the sea lamprey PmCDA1 and PmCDA2, which are predicted to play an AID-like role in the adaptive immune response of jawless vertebrates. Divergent members of this family are present in various eukaryotes such as Nematostella, C. elegans, Micromonas and Emiliania, and prokaryotes such as Wolbachia and Pseudomonas brassicacearum.
Q#3 - >aid_mammals_XM_005570042.4	non-specific	462396	11	178	1.41285e-82	242.271	pfam08210	APOBEC_N	 - 	cl38258	APOBEC-like N-terminal domain; A mechanism of generating protein diversity is mRNA editing. Members of this family are C-to-U editing enzymes. The N-terminal domain of APOBEC-1 like proteins is the catalytic domain, while the C-terminal domain is a pseudocatalyitc domain. More specifically, the catalytic domain is a zinc dependent deaminases domain and is essential for cytidine deamination.APOBEC-3 like members contain two copies of this domain. RNA editing by APOBEC-1 requires homodimerization and this complex interacts with RNA binding proteins to from the editosome (and references therein). This family also includes the functionally homologous activation induced deaminase (AID), which is essential for the development of antibody diversity in B lymphocytes, and the sea lamprey PmCDA1 and PmCDA2, which are predicted to play an AID-like role in the adaptive immune response of jawless vertebrates. Divergent members of this family are present in various eukaryotes such as Nematostella, C. elegans, Micromonas and Emiliania, and prokaryotes such as Wolbachia and Pseudomonas brassicacearum.
Q#3 - >aid_mammals_XM_005570042.4	non-specific	462396	11	178	1.41285e-82	242.271	pfam08210	APOBEC_N	 - 	cl38258	APOBEC-like N-terminal domain; A mechanism of generating protein diversity is mRNA editing. Members of this family are C-to-U editing enzymes. The N-terminal domain of APOBEC-1 like proteins is the catalytic domain, while the C-terminal domain is a pseudocatalyitc domain. More specifically, the catalytic domain is a zinc dependent deaminases domain and is essential for cytidine deamination.APOBEC-3 like members contain two copies of this domain. RNA editing by APOBEC-1 requires homodimerization and this complex interacts with RNA binding proteins to from the editosome (and references therein). This family also includes the functionally homologous activation induced deaminase (AID), which is essential for the development of antibody diversity in B lymphocytes, and the sea lamprey PmCDA1 and PmCDA2, which are predicted to play an AID-like role in the adaptive immune response of jawless vertebrates. Divergent members of this family are present in various eukaryotes such as Nematostella, C. elegans, Micromonas and Emiliania, and prokaryotes such as Wolbachia and Pseudomonas brassicacearum.
Q#3 - >aid_mammals_XM_005570042.4	non-specific	436733	5	180	6.25261e-69	207.989	pfam18782	NAD2	 - 	cl40079	Novel AID APOBEC clade 2; A distnct family of AID/APOBEC deaminases found only in Amphibians.
Q#3 - >aid_mammals_XM_005570042.4	superfamily	436733	5	180	6.25261e-69	207.989	cl40079	NAD2 superfamily	 - 	 - 	Novel AID APOBEC clade 2; A distnct family of AID/APOBEC deaminases found only in Amphibians.
Q#3 - >aid_mammals_XM_005570042.4	non-specific	436733	5	180	6.25261e-69	207.989	pfam18782	NAD2	 - 	cl40079	Novel AID APOBEC clade 2; A distnct family of AID/APOBEC deaminases found only in Amphibians.
Q#3 - >aid_mammals_XM_005570042.4	non-specific	436733	5	180	6.25261e-69	207.989	pfam18782	NAD2	 - 	cl40079	Novel AID APOBEC clade 2; A distnct family of AID/APOBEC deaminases found only in Amphibians.
Q#3 - >aid_mammals_XM_005570042.4	non-specific	436733	5	180	6.25261e-69	207.989	pfam18782	NAD2	 - 	cl40079	Novel AID APOBEC clade 2; A distnct family of AID/APOBEC deaminases found only in Amphibians.
Q#3 - >aid_mammals_XM_005570042.4	non-specific	465854	31	150	3.68591e-52	163.2	pfam18750	SNAD4	 - 	cl39020	Secreted Novel AID/APOBEC-like Deaminase 4; A family of secreted AID/APOBEC like deaminases found only in sponges that often shows lineage-specific expansions.
Q#3 - >aid_mammals_XM_005570042.4	superfamily	465854	31	150	3.68591e-52	163.2	cl39020	SNAD4 superfamily	 - 	 - 	Secreted Novel AID/APOBEC-like Deaminase 4; A family of secreted AID/APOBEC like deaminases found only in sponges that often shows lineage-specific expansions.
Q#3 - >aid_mammals_XM_005570042.4	non-specific	465854	31	150	3.68591e-52	163.2	pfam18750	SNAD4	 - 	cl39020	Secreted Novel AID/APOBEC-like Deaminase 4; A family of secreted AID/APOBEC like deaminases found only in sponges that often shows lineage-specific expansions.
Q#3 - >aid_mammals_XM_005570042.4	non-specific	465854	31	150	3.68591e-52	163.2	pfam18750	SNAD4	 - 	cl39020	Secreted Novel AID/APOBEC-like Deaminase 4; A family of secreted AID/APOBEC like deaminases found only in sponges that often shows lineage-specific expansions.
Q#3 - >aid_mammals_XM_005570042.4	non-specific	465854	31	150	3.68591e-52	163.2	pfam18750	SNAD4	 - 	cl39020	Secreted Novel AID/APOBEC-like Deaminase 4; A family of secreted AID/APOBEC like deaminases found only in sponges that often shows lineage-specific expansions.
Q#3 - >aid_mammals_XM_005570042.4	non-specific	465862	27	160	2.54251e-40	133.767	pfam18771	APOBEC3	 - 	cl39019	APOBEC3; APOBEC3 deaminases act as restriction factors in the innate response to retroviruses and various retroelements.
Q#3 - >aid_mammals_XM_005570042.4	superfamily	465862	27	160	2.54251e-40	133.767	cl39019	APOBEC3 superfamily	 - 	 - 	APOBEC3; APOBEC3 deaminases act as restriction factors in the innate response to retroviruses and various retroelements.
Q#3 - >aid_mammals_XM_005570042.4	non-specific	465862	27	160	2.54251e-40	133.767	pfam18771	APOBEC3	 - 	cl39019	APOBEC3; APOBEC3 deaminases act as restriction factors in the innate response to retroviruses and various retroelements.
Q#3 - >aid_mammals_XM_005570042.4	non-specific	465862	27	160	2.54251e-40	133.767	pfam18771	APOBEC3	 - 	cl39019	APOBEC3; APOBEC3 deaminases act as restriction factors in the innate response to retroviruses and various retroelements.
Q#3 - >aid_mammals_XM_005570042.4	non-specific	465862	27	160	2.54251e-40	133.767	pfam18771	APOBEC3	 - 	cl39019	APOBEC3; APOBEC3 deaminases act as restriction factors in the innate response to retroviruses and various retroelements.
Q#3 - >aid_mammals_XM_005570042.4	non-specific	461599	102	180	1.88915e-37	124.518	pfam05240	APOBEC_C	 - 	cl46425	APOBEC-like C-terminal domain; This domain is found at the C-termini of the Apolipoprotein B mRNA editing enzyme.
Q#3 - >aid_mammals_XM_005570042.4	superfamily	480765	102	180	1.88915e-37	124.518	cl46425	APOBEC4 superfamily	 - 	 - 	APOBEC4; A member of the AID/APOBEC family of cytosine deaminases. The biological function of APOBEC4 is poorly understood. However, it is widely conserved across vertebrates.
Q#3 - >aid_mammals_XM_005570042.4	non-specific	461599	102	180	1.88915e-37	124.518	pfam05240	APOBEC_C	 - 	cl46425	APOBEC-like C-terminal domain; This domain is found at the C-termini of the Apolipoprotein B mRNA editing enzyme.
